n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
1099,0.8451493000000003,-0.7055127222738239,-0.8730244546133781,1.0984917541364843,5.45854755315362,0.2012424996649231,828.9536485211385,train,exposure,1,0.03428571428571429,0.12,20-40,0.06917645446511425
1140,1.56793541,-0.726916063778501,-0.8731018440974557,0.8847770986679327,5.3302111664490335,0.1659928792759946,914.1105788788259,train,exposure,1,0.03428571428571429,0.12,40-60,0.06917645446511425
1165,2.9995000000000003,-0.6879280864230056,-0.8729937050762461,1.3001375627102518,5.585950141862279,0.23275137258507717,1278.8507821462981,train,exposure,1,0.03428571428571429,0.12,60-80,0.06917645446511425
511,6.829391224686716,-0.572725285110629,-0.87301573268523,2.6504523080852924,6.66685222008586,0.39755678100978786,2472.4023744953324,train,exposure,1,0.03428571428571429,0.12,80-100,0.06917645446511425
207,0.00870000000000445,-0.3582536353499183,-0.19385925487974331,-0.056345043230300526,0.6417253060947655,-0.0878024330584524,-112.59898978518319,val,exposure,4,0.52,0.9990000000000003,0-20,0.7570279990446729
166,5.517999999999999,-0.32356109889345436,-0.174240919294345,0.027504529601361703,0.6426050678574146,0.0428016070478059,27.844112761061815,val,exposure,4,0.52,0.9990000000000003,20-40,0.7570279990446729
213,11.020000000000001,-0.31838131773150186,-0.1821626759032488,0.024693009145469923,0.6190428589163469,0.03988901380543469,-45.21460882845651,val,exposure,4,0.52,0.9990000000000003,40-60,0.7570279990446729
385,22.742763470261558,-0.29205085486683297,-0.18024336274029273,0.06302140049349908,0.5724584187606646,0.1100890447727825,-28.278213821791184,val,exposure,4,0.52,0.9990000000000003,60-80,0.7570279990446729
877,49.56798818,-0.30377468665719776,-0.18771469983933803,0.04503750225554813,0.5902064103635898,0.07630805336018513,-609.3485410502842,val,exposure,4,0.52,0.9990000000000003,80-100,0.7570279990446729
245,1.1608754399999999,-0.6139516670145111,-0.8682225037937338,0.4392157832318842,2.509463541568918,0.17502377538319855,41.107471143139655,val,exposure,2,0.11999999999999998,0.262,0-20,0.181910589970039
342,2.4,-0.6456091934642327,-0.8681537282488538,0.289408085606764,2.4433281456929983,0.1184483083522453,-0.5343838796904166,val,exposure,2,0.11999999999999998,0.262,20-40,0.181910589970039
466,3.5977915949999995,-0.6696231230512578,-0.8682071485144438,0.13456533918879063,2.3162879404776264,0.05809525527341942,24.76444772831471,val,exposure,2,0.11999999999999998,0.262,40-60,0.181910589970039
485,8.5,-0.6712291004307981,-0.8682339728273017,0.13414084462953402,2.3240696413240585,0.05771808307478768,182.26951174494025,val,exposure,2,0.11999999999999998,0.262,60-80,0.181910589970039
490,16.57385689000001,-0.6940857768957402,-0.8681537282488538,-0.05320930554416373,2.1011127334207105,-0.025324345856272298,-294.7389650559396,val,exposure,2,0.11999999999999998,0.262,80-100,0.181910589970039
150,2.0969784800000033,-0.4537520026896947,-0.8672702993264225,0.25528273197009227,1.3990243750512983,0.18247196869656526,3.544223565891187,val,exposure,3,0.2634874093833682,0.52,0-20,0.37692781280122767
231,3.3999999999999995,-0.5243572373013703,-0.8674104686060645,0.0576404925137879,1.379027841449183,0.041797917910935775,-81.6088616330234,val,exposure,3,0.2634874093833682,0.52,20-40,0.37692781280122767
380,6.118103565,-0.5011367128685453,-0.8673861200135425,0.10995472627092656,1.3678188113770833,0.08038690896510416,82.07290697866264,val,exposure,3,0.2634874093833682,0.52,40-60,0.37692781280122767
498,10.736228317884853,-0.5066043190286327,-0.8673738061817138,0.08512194757392263,1.3540172468714617,0.06286622106963705,47.75629778938975,val,exposure,3,0.2634874093833682,0.52,60-80,0.37692781280122767
738,19.9999995,-0.5559589846369619,-0.8674600287303817,-0.0696537113196799,1.301049952007425,-0.053536538864022334,-446.8242552369004,val,exposure,3,0.2634874093833682,0.52,80-100,0.37692781280122767
835,0.39110965200000003,-0.8577683736884315,-0.8699421772350044,-0.35114698658215976,6.788423802103011,-0.05172732239748741,16.870181810162748,val,exposure,0,0.001,0.03600001156812711,0-20,0.015092806333335967
471,1.216000000000001,-0.8632570757809058,-0.8696370769402724,-0.7090508767791145,3.670431392904288,-0.19317916639168306,-128.49970446822584,val,exposure,0,0.001,0.03600001156812711,20-40,0.015092806333335967
340,1.9773044999999998,-0.8606359091084446,-0.8695171633912447,-0.37286025521319643,8.193330088376072,-0.04550777903384798,-54.56934681601866,val,exposure,0,0.001,0.03600001156812711,40-60,0.015092806333335967
237,3.0773,-0.8696587439584118,-0.869622318627303,-1.0,0.0,,-86.74944841496583,val,exposure,0,0.001,0.03600001156812711,60-80,0.015092806333335967
162,7.554177678,-0.8696198735342354,-0.869603930398819,-1.0,0.0,,-110.08988387840336,val,exposure,0,0.001,0.03600001156812711,80-100,0.015092806333335967
407,0.6959999999999994,-0.7813587540953296,-0.8687852120667684,0.2358138248571942,4.236035273219281,0.05566852248564531,116.35336688002292,val,exposure,1,0.037,0.11999999999999998,0-20,0.06892460403384114
538,1.5380144999999998,-0.7913521327398448,-0.8688926240716561,0.1127700018836192,4.065788729760824,0.027736316217850568,187.1454206167995,val,exposure,1,0.037,0.11999999999999998,20-40,0.06892460403384114
440,4.3398707187010075,-0.7718238392376484,-0.868795301643554,0.27200015485285245,4.05367738130465,0.06709960592998918,37.734991622238624,val,exposure,1,0.037,0.11999999999999998,40-60,0.06892460403384114
270,3.25781,-0.75220017807858,-0.8687740276760829,0.4708271109968419,4.252766709454321,0.11071077798604533,-32.88569365135592,val,exposure,1,0.037,0.11999999999999998,60-80,0.06892460403384114
383,11.482775867919901,-0.8397868966978593,-0.8690204173292977,-0.6499779593774372,2.1062580905476067,-0.3085936914827229,-340.6350811810421,val,exposure,1,0.037,0.11999999999999998,80-100,0.06892460403384114
87,1.2,-0.6332137741494233,-0.9213609203988722,0.13008322103764772,1.6176035015004937,0.0804172474385609,-49.42860206881323,test,exposure,3,0.22,0.46,0-20,0.3143256643077048
173,2.4800000000000004,-0.6557373793900162,-0.9213889196102104,0.04591371077095594,1.5873313273552485,0.02892509583834374,26.17239805405211,test,exposure,3,0.22,0.46,20-40,0.3143256643077048
233,4.8,-0.678030965858535,-0.9213139527572449,-0.06598347114064881,1.4915826022454097,-0.04423722229081924,20.528320926426435,test,exposure,3,0.22,0.46,40-60,0.3143256643077048
239,8.4303,-0.6617688284649952,-0.9213416319209412,-0.04363071843043833,1.4636211263036625,-0.029810117964494395,331.14354000370196,test,exposure,3,0.22,0.46,60-80,0.3143256643077048
487,24.999999000000003,-0.6763301969455843,-0.9213139527572449,-0.09657940164336054,1.428930302830223,-0.06758860208371936,761.1519536269523,test,exposure,3,0.22,0.46,80-100,0.3143256643077048
102,0.0016814400000033202,-0.4369260905000709,-0.28996835425030876,-0.05227632920529983,0.662136201728083,-0.07895102105709659,-50.4250900045005,test,exposure,4,0.46,0.9990000000000001,0-20,0.7432827322961273
83,4.9,-0.3950978036140652,-0.24466743986678924,0.0790585327879078,0.6926577754417851,0.11413794169492049,-25.702657770803164,test,exposure,4,0.46,0.9990000000000001,20-40,0.7432827322961273
139,10.740370933014132,-0.37106677171402147,-0.23355093310832953,0.14179510104274193,0.6820016750941901,0.20791019468267266,-16.92546301569608,test,exposure,4,0.46,0.9990000000000001,40-60,0.7432827322961273
267,18.037265299999998,-0.36083893987977483,-0.257119087568807,0.12799935935643766,0.6251098556744297,0.2047629839691768,140.5497635084893,test,exposure,4,0.46,0.9990000000000001,60-80,0.7432827322961273
609,34.80310590000006,-0.3579267465481926,-0.2623511778842148,0.10358326536897768,0.5787536239022223,0.17897644367316753,93.61490225346981,test,exposure,4,0.46,0.9990000000000001,80-100,0.7432827322961273
489,0.39151300000000006,-0.9101403976825475,-0.9233593316928544,-0.4980479665546602,4.200306362794608,-0.11857419995985527,-50.16682597559429,test,exposure,0,0.0010000000000000007,0.05,0-20,0.02478242474112548
320,1.2616749950000006,-0.8880883520276172,-0.9231196911953925,0.141464038034879,6.0446924441332595,0.02340301666996779,-14.474301336576552,test,exposure,0,0.0010000000000000007,0.05,20-40,0.02478242474112548
222,2.219251309034483,-0.9064125715895828,-0.9231196911953925,-0.4869869990768147,3.854023415985288,-0.12635807998906917,-70.69822959250723,test,exposure,0,0.0010000000000000007,0.05,40-60,0.02478242474112548
152,3.829175691141894,-0.9046991431091831,-0.9231196911953925,-0.5394736842105263,3.273173276396492,-0.16481672024538974,-111.21987588534354,test,exposure,0,0.0010000000000000007,0.05,60-80,0.02478242474112548
119,6.0,-0.9230805910497287,-0.9230639604165806,-1.0,0.0,,-97.25337814014557,test,exposure,0,0.0010000000000000007,0.05,80-100,0.02478242474112548
136,0.955,-0.7382428500192897,-0.9220339215046691,0.398089366204773,2.8240543691178126,0.14096377554130782,49.48343138596311,test,exposure,2,0.11,0.22,0-20,0.15819827397640188
