n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
1787,29.255045490000033,-0.4742124322207177,-0.9340111000940753,0.021140304126992675,1.2548573004442987,0.016846779406317892,5118.823933154239,val,marg,2,0.32,0.47000000116300944,60-80,0.39283059000291365
2139,120.17806845999998,-0.5007270341437016,-0.9343181475700864,-0.03880367612135551,1.244673385670655,-0.031175790024984995,-5246.53442133265,val,marg,2,0.32,0.47000000116300944,80-100,0.39283059000291365
2776,14.445062840000002,-0.360990009658481,-0.8144784860936932,0.041128175186382614,1.357413804530275,0.030298922148220508,-199.91158787888705,test,marg,2,0.31,0.42,0-20,0.36159328476300234
1391,15.35454971,-0.31186531933236783,-0.81452806166133,0.14866066606691183,1.3742446945559406,0.10817627068587558,74.74308810023068,test,marg,2,0.31,0.42,20-40,0.36159328476300234
1726,19.063078599999983,-0.3375624982018444,-0.8142199749246257,0.08678760600629554,1.3559904928420083,0.06400310803389055,-756.2716675892434,test,marg,2,0.31,0.42,40-60,0.36159328476300234
1657,23.78468240000025,-0.31592278666460494,-0.8140970491894762,0.13414823677673066,1.362818481846364,0.09843441262623978,927.2944536206601,test,marg,2,0.31,0.42,60-80,0.36159328476300234
2161,120.55924970000004,-0.36393090411512546,-0.8149694791470501,0.01961206416131479,1.3247672186587147,0.014804158711876484,-21458.293118240385,test,marg,2,0.31,0.42,80-100,0.36159328476300234
2820,4.742224438518868,-0.29820190280382297,0.10509494829223856,0.01624207508024946,1.0033473527868877,0.016187888506543256,-29.695795550797648,test,marg,3,0.42,0.625,0-20,0.5049802606842284
1359,19.666896499999993,-0.32144216957704236,-0.8232907874612004,-0.021044454539646665,1.0187797594140797,-0.02065652987820424,338.17625846817475,test,marg,3,0.42,0.625,20-40,0.5049802606842284
1565,21.746749860000033,-0.3117465331420194,-0.823068900114482,0.0022525778178919265,1.0299328943581352,0.0021871112479573307,408.28409687034866,test,marg,3,0.42,0.625,40-60,0.5049802606842284
1672,46.935839550000075,-0.27492487822157813,0.11420504618902477,0.05628921942954152,0.9938430034360491,0.05663793902551085,3527.8393387330498,test,marg,3,0.42,0.625,60-80,0.5049802606842284
2250,137.0793536199987,-0.24220012030911495,0.1200196321724494,0.11698253181584457,0.9871057915011712,0.11851063262220336,68181.59263407724,test,marg,3,0.42,0.625,80-100,0.5049802606842284
2161,1.4628841800001557,-0.15531662841107724,-0.06395779087826418,0.11551189216321976,0.4695893719566044,0.24598489459402506,277.10102416933614,test,marg,4,0.625,0.9990000000000002,0-20,0.8024415383723524
1393,91.62595099200004,-0.20091829646758708,-0.1321198976180309,0.039195644556194884,0.45999503140388953,0.08520884331417902,888.4345509037199,test,marg,4,0.625,0.9990000000000002,20-40,0.8024415383723524
1165,75.94687083468705,-0.22973711101133068,-0.12344724487630107,-0.00332419438512518,0.5258922901160459,-0.006321055561380539,1811.1908828143673,test,marg,4,0.625,0.9990000000000002,40-60,0.8024415383723524
1392,100.2972,-0.22045601937533343,-0.11220517454081018,0.010883901044635855,0.5162075403118795,0.02108435114694388,4008.9865433117957,test,marg,4,0.625,0.9990000000000002,60-80,0.8024415383723524
3474,218.99607844000002,-0.17718667819770872,-0.10587085115870472,0.07991711779722965,0.4428106183948324,0.1804769679799582,46142.25958808253,test,marg,4,0.625,0.9990000000000002,80-100,0.8024415383723524
3823,10.932421840000009,-0.613800224049698,-0.7888141065260066,-0.07513557406387866,2.7190120593305576,-0.02763340964452274,920.4511363215256,test,marg,0,0.0010000000000000009,0.190000002268,0-20,0.12332505408653908
1496,15.002152525000003,-0.5734008377152222,-0.7874254582780844,0.6001443513341271,6.2661917012629,0.09577497464898384,10655.324173001645,test,marg,0,0.0010000000000000009,0.190000002268,20-40,0.12332505408653908
1613,20.694349026,-0.5894336431921495,-0.7895175155477704,0.39554417181078166,5.524490894231346,0.0715983027909065,25472.53861034725,test,marg,0,0.0010000000000000009,0.190000002268,40-60,0.12332505408653908
1545,28.9104,-0.5708264305246364,-0.7905902519117968,0.43807843107130695,5.197158027316369,0.08429192046282945,23087.587368087152,test,marg,0,0.0010000000000000009,0.190000002268,60-80,0.12332505408653908
1199,81.41117335000001,-0.5392890273997185,-0.7919201119214856,0.39540615422239683,4.4425293436157665,0.08900473663513869,36369.59578032984,test,marg,0,0.0010000000000000009,0.190000002268,80-100,0.12332505408653908
3501,13.383419400000003,-0.523982423627179,-0.8055066306339562,-0.11890384693649098,1.7366038880478474,-0.06846918157608944,-125.64686593457863,test,marg,1,0.19000000331363695,0.31,0-20,0.24683862656487918
1177,15.121944300000084,-0.5109279907605543,-0.8055066306339562,-0.11127836511444601,1.6919415814348773,-0.06576962605297204,-136.4908812685681,test,marg,1,0.19000000331363695,0.31,20-40,0.24683862656487918
1574,18.012022645229877,-0.49111774102726385,-0.8050643460157746,-0.05993833048107397,1.7154311514414327,-0.034940679741480345,-1701.0457611084057,test,marg,1,0.19000000331363695,0.31,40-60,0.24683862656487918
1649,28.912000000000006,-0.47089723635255976,-0.8049053760178954,0.0037980741276753926,1.760309393092624,0.0021576173725930607,-3433.974093912604,test,marg,1,0.19000000331363695,0.31,60-80,0.24683862656487918
1813,104.80000000000001,-0.48291512709179496,-0.8062681356620862,-0.02719789452848127,1.7460992026830873,-0.015576374175469811,-25421.706201518744,test,marg,1,0.19000000331363695,0.31,80-100,0.24683862656487918
