wallet,frac,threshold
0x5afdc3662d84189688b789a00fe295a81c3b7e8d,0.5,9893.366461600006
0x5afdc3662d84189688b789a00fe295a81c3b7e8d,0.8,2990.0283135000004
0x5afdc3662d84189688b789a00fe295a81c3b7e8d,1.0,837.4641887768606
0x5c1640a92fb8022554750f5c0112240132e8df3a,0.2,4192.391174224001
0x5c1640a92fb8022554750f5c0112240132e8df3a,0.5,2745.7299171600093
0x5c1640a92fb8022554750f5c0112240132e8df3a,0.8,1669.12738436401
0x5c1640a92fb8022554750f5c0112240132e8df3a,1.0,852.29053
0x5d5db930389105ecc1927de972696a4e52ba6be6,0.2,7227.138599999999
0x5d5db930389105ecc1927de972696a4e52ba6be6,0.5,7227.138599999999
0x5d5db930389105ecc1927de972696a4e52ba6be6,0.8,7227.138599999999
0x5d5db930389105ecc1927de972696a4e52ba6be6,1.0,307.4804907488479
0x5d67c465e9156fc2077d2f881c65405d09a64e16,0.2,1071.423851562
0x5d67c465e9156fc2077d2f881c65405d09a64e16,0.5,131.403872796
0x5d67c465e9156fc2077d2f881c65405d09a64e16,0.8,60.199999999999996
0x5d67c465e9156fc2077d2f881c65405d09a64e16,1.0,14.2
0x6002bdd47f5cfe28f6e90bd254a503410a10f4be,0.2,350.46000000000004
0x6002bdd47f5cfe28f6e90bd254a503410a10f4be,0.5,197.1529411764706
0x6002bdd47f5cfe28f6e90bd254a503410a10f4be,0.8,182.85
0x6002bdd47f5cfe28f6e90bd254a503410a10f4be,1.0,70.2
0x633fdd77ddf73aedd42e5af1eb4104fdc5243c8a,0.2,1662.189233041492
0x633fdd77ddf73aedd42e5af1eb4104fdc5243c8a,0.5,700.0326498791501
0x633fdd77ddf73aedd42e5af1eb4104fdc5243c8a,0.8,354.37618372674103
0x633fdd77ddf73aedd42e5af1eb4104fdc5243c8a,1.0,99.999999
0x668d85d791049bf0100e557a72c7ed4dc97297d2,0.2,3216.6760854277372
0x668d85d791049bf0100e557a72c7ed4dc97297d2,0.5,585.336
0x668d85d791049bf0100e557a72c7ed4dc97297d2,0.8,195.79999999999998
0x668d85d791049bf0100e557a72c7ed4dc97297d2,1.0,60.04952
0x6752b1816b52795321ff6a4c14a2bb6fd77bfafb,0.2,144.89999999999998
0x6752b1816b52795321ff6a4c14a2bb6fd77bfafb,0.5,74.4
0x6752b1816b52795321ff6a4c14a2bb6fd77bfafb,0.8,72.44999999999999
0x6752b1816b52795321ff6a4c14a2bb6fd77bfafb,1.0,2.15
0x6a9b04663e24b275bf6258a53976eb1a516e4d6c,0.2,73474.15229417998
0x6a9b04663e24b275bf6258a53976eb1a516e4d6c,0.5,49590.16913272836
0x6a9b04663e24b275bf6258a53976eb1a516e4d6c,0.8,5009.76179375
0x6a9b04663e24b275bf6258a53976eb1a516e4d6c,1.0,334.80941479999933
0x6c58c9bc14a90cd9f769d7721a3a53d5ecd6c2dd,0.2,1537.1553485200002
0x6c58c9bc14a90cd9f769d7721a3a53d5ecd6c2dd,0.5,41.973806277
0x6c58c9bc14a90cd9f769d7721a3a53d5ecd6c2dd,0.8,9.049480990000003
0x6c58c9bc14a90cd9f769d7721a3a53d5ecd6c2dd,1.0,9.049480990000003
0x70120bd6d2a6af63dee89226937554b9549d4035,0.2,2465.9518593500006
0x70120bd6d2a6af63dee89226937554b9549d4035,0.5,1651.91064973
0x70120bd6d2a6af63dee89226937554b9549d4035,0.8,1080.0
0x70120bd6d2a6af63dee89226937554b9549d4035,1.0,564.4933123200004
0x70c907411393dd590ef46908a80bb4cfb3dfcef3,0.2,3817.6150766774795
0x70c907411393dd590ef46908a80bb4cfb3dfcef3,0.5,1715.9641259149998
0x70c907411393dd590ef46908a80bb4cfb3dfcef3,0.8,317.3932005900001
0x70c907411393dd590ef46908a80bb4cfb3dfcef3,1.0,8.999998999999995
0x730a0ececde4c8fe58554a6998e8bde5db7951a0,0.2,1280.360144490001
0x730a0ececde4c8fe58554a6998e8bde5db7951a0,0.5,635.5227604199999
0x730a0ececde4c8fe58554a6998e8bde5db7951a0,0.8,44.655197744181464
0x730a0ececde4c8fe58554a6998e8bde5db7951a0,1.0,1.9048977970000018
0x742ff6df87485287bb4db5b0d7fa7af13047d673,0.2,938.0999999999999
0x742ff6df87485287bb4db5b0d7fa7af13047d673,0.5,374.15279748
0x742ff6df87485287bb4db5b0d7fa7af13047d673,0.8,77.00000000000001
0x742ff6df87485287bb4db5b0d7fa7af13047d673,1.0,1.7000000000000002
0x75049bd489194be19c45c31ed311e556411c9c69,0.2,92598.56735602999
0x75049bd489194be19c45c31ed311e556411c9c69,0.5,57482.692316477995
0x75049bd489194be19c45c31ed311e556411c9c69,0.8,48444.27053060002
0x75049bd489194be19c45c31ed311e556411c9c69,1.0,30687.740085296
0x7df61ca342c9b53ba9b4c60745718ed48a77ac3b,0.2,478.6647826400001
0x7df61ca342c9b53ba9b4c60745718ed48a77ac3b,0.5,229.36010159000003
0x7df61ca342c9b53ba9b4c60745718ed48a77ac3b,0.8,166.0
0x7df61ca342c9b53ba9b4c60745718ed48a77ac3b,1.0,106.715604058
0x84c6c9f6eed47b4bb70bd9acf2c77a3c74e3c8c8,0.2,6975.959999999999
0x84c6c9f6eed47b4bb70bd9acf2c77a3c74e3c8c8,0.5,1481.4528154636573
0x84c6c9f6eed47b4bb70bd9acf2c77a3c74e3c8c8,0.8,1021.3299406350001
0x84c6c9f6eed47b4bb70bd9acf2c77a3c74e3c8c8,1.0,141.7563
0x89c73a6b97b2e58972fb83b7d661121814ba3ff0,0.2,6549.659485939277
0x89c73a6b97b2e58972fb83b7d661121814ba3ff0,0.5,6549.659485939277
0x89c73a6b97b2e58972fb83b7d661121814ba3ff0,0.8,1338.54102278
0x89c73a6b97b2e58972fb83b7d661121814ba3ff0,1.0,380.70882278000005
0x8b72cb885a6bd4ea9d1da393ca231f0fa3476dbe,0.2,558.4165708
0x8b72cb885a6bd4ea9d1da393ca231f0fa3476dbe,0.5,558.4165708
0x8b72cb885a6bd4ea9d1da393ca231f0fa3476dbe,0.8,558.4165708
0x8b72cb885a6bd4ea9d1da393ca231f0fa3476dbe,1.0,558.4165708
0x8fd7cb4f07fc195adba70dc1271cd18b8d75eb50,0.2,4117.721411030594
0x8fd7cb4f07fc195adba70dc1271cd18b8d75eb50,0.5,3501.45836688
0x8fd7cb4f07fc195adba70dc1271cd18b8d75eb50,0.8,2479.3916669999994
0x8fd7cb4f07fc195adba70dc1271cd18b8d75eb50,1.0,224.39999999999998
0x91c92bca4f5c8d240dc7af7945ba2ac18025d319,0.2,249.99999899999997
0x91c92bca4f5c8d240dc7af7945ba2ac18025d319,0.5,249.99999899999997
0x91c92bca4f5c8d240dc7af7945ba2ac18025d319,0.8,82.96258072964118
0x91c92bca4f5c8d240dc7af7945ba2ac18025d319,1.0,47.23768463982937
0x91d78f022fc8297a2b3169b6dc48c7906b052f8a,0.2,3256.485880733774
0x91d78f022fc8297a2b3169b6dc48c7906b052f8a,0.5,1220.3348207882884
0x91d78f022fc8297a2b3169b6dc48c7906b052f8a,0.8,667.109999
0x91d78f022fc8297a2b3169b6dc48c7906b052f8a,1.0,0.0
0x92d0cb81e6c891b835c8e0272e8c323095bd269e,0.2,283.5728
0x92d0cb81e6c891b835c8e0272e8c323095bd269e,0.5,219.8383943291435
0x92d0cb81e6c891b835c8e0272e8c323095bd269e,0.8,184.60474474999995
0x92d0cb81e6c891b835c8e0272e8c323095bd269e,1.0,160.0
0x977ac477cb8d2f3c9d357afed779ad7570acf2ca,0.2,2516.4906594200006
0x977ac477cb8d2f3c9d357afed779ad7570acf2ca,0.5,750.1570931299999
0x977ac477cb8d2f3c9d357afed779ad7570acf2ca,0.8,440.99764359000005
0x977ac477cb8d2f3c9d357afed779ad7570acf2ca,1.0,88.0
0x993c072519306017fe9a6b3ee6fa4a02b3056787,0.2,21084.030589440004
0x993c072519306017fe9a6b3ee6fa4a02b3056787,0.5,13550.90333241
0x993c072519306017fe9a6b3ee6fa4a02b3056787,0.8,10049.724926010002
0x993c072519306017fe9a6b3ee6fa4a02b3056787,1.0,8567.203317706697
0x99984e22205053950eb25453779267bcc1aee858,0.2,17.0
0x99984e22205053950eb25453779267bcc1aee858,0.5,9.35
0x99984e22205053950eb25453779267bcc1aee858,0.8,9.35
0x99984e22205053950eb25453779267bcc1aee858,1.0,8.482636029492264
0xa1afdc1e14e844de60009060de2130c22abed889,0.2,2546.756782112541
0xa1afdc1e14e844de60009060de2130c22abed889,0.5,561.9860960981522
0xa1afdc1e14e844de60009060de2130c22abed889,0.8,245.21657412000002
0xa1afdc1e14e844de60009060de2130c22abed889,1.0,62.254534392
0xa486f1e84d08b356967943a47b70bb8504dd25d4,0.2,420.0273
0xa486f1e84d08b356967943a47b70bb8504dd25d4,0.5,40.0
0xa486f1e84d08b356967943a47b70bb8504dd25d4,0.8,40.0
0xa486f1e84d08b356967943a47b70bb8504dd25d4,1.0,6.0237500000000015
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,0.2,1345.9220991744835
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,0.5,376.36
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,0.8,161.705862032
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,1.0,35.296612110000005
0xaa6474093cf727e0f409dee75a6b2aac12a1a43d,0.2,656.410012272
0xaa6474093cf727e0f409dee75a6b2aac12a1a43d,0.5,234.0
0xaa6474093cf727e0f409dee75a6b2aac12a1a43d,0.8,234.0
0xaa6474093cf727e0f409dee75a6b2aac12a1a43d,1.0,52.0
0xabb105927d94be1a1b600c8fb09120825bd48b46,0.2,2652.8
0xabb105927d94be1a1b600c8fb09120825bd48b46,0.5,1549.4344
0xabb105927d94be1a1b600c8fb09120825bd48b46,0.8,1549.4344
0xabb105927d94be1a1b600c8fb09120825bd48b46,1.0,504.00000000000006
0xada6509dcd04497e5bfca458a6f77d818aeb8bcf,0.2,1734.9667877850002
0xada6509dcd04497e5bfca458a6f77d818aeb8bcf,0.5,1564.0528332799997
0xada6509dcd04497e5bfca458a6f77d818aeb8bcf,0.8,1180.28072352
0xada6509dcd04497e5bfca458a6f77d818aeb8bcf,1.0,1009.0142711999999
0xc0fa96468f4602c178a27acdc29cf97378400a56,0.2,1697.3048540700004
0xc0fa96468f4602c178a27acdc29cf97378400a56,0.5,383.7524429144108
0xc0fa96468f4602c178a27acdc29cf97378400a56,0.8,196.04233337729613
0xc0fa96468f4602c178a27acdc29cf97378400a56,1.0,158.7459297547496
0xc5fe4e2927af431482ae4bb820b9e122c7c4e320,0.2,5054.530812419286
0xc5fe4e2927af431482ae4bb820b9e122c7c4e320,0.5,1649.4982100000002
0xc5fe4e2927af431482ae4bb820b9e122c7c4e320,0.8,249.99999899999995
0xc5fe4e2927af431482ae4bb820b9e122c7c4e320,1.0,224.56727263999989
0xcc3cb27ba6fe4877d74dd990499ab26fce0bb218,0.2,4029.1880166452383
0xcc3cb27ba6fe4877d74dd990499ab26fce0bb218,0.5,1378.7838494399998
0xcc3cb27ba6fe4877d74dd990499ab26fce0bb218,0.8,1378.6465353499993
0xcc3cb27ba6fe4877d74dd990499ab26fce0bb218,1.0,334.878
0xcd6be6693e2bc11150d397caa9e6f7c6744b68f5,0.2,440.0
0xcd6be6693e2bc11150d397caa9e6f7c6744b68f5,0.5,117.60000000000001
0xcd6be6693e2bc11150d397caa9e6f7c6744b68f5,0.8,50.199600000000004
0xcd6be6693e2bc11150d397caa9e6f7c6744b68f5,1.0,36.013999999999996
0xce41369f5db6f155fb6d2ae31f6d57052904fa02,0.2,32798.13460553
0xce41369f5db6f155fb6d2ae31f6d57052904fa02,0.5,29118.176231772006
0xce41369f5db6f155fb6d2ae31f6d57052904fa02,0.8,23778.641806128
0xce41369f5db6f155fb6d2ae31f6d57052904fa02,1.0,23436.435457591622
0xd08e8f5efb47d9ff61c30e9c8546f82f7f2a2f7c,0.2,5312.3667831462935
0xd08e8f5efb47d9ff61c30e9c8546f82f7f2a2f7c,0.5,4742.933393364476
0xd08e8f5efb47d9ff61c30e9c8546f82f7f2a2f7c,0.8,1018.8011910911932
0xd08e8f5efb47d9ff61c30e9c8546f82f7f2a2f7c,1.0,211.439999
0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,0.2,167514.36210615357
0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,0.5,45808.792944700006
0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,0.8,10035.6195
0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,1.0,12.608100000000013
0xd3989ba133ab48b5b3a81e3dba9b37b5966a46d7,0.2,23558.915809000006
0xd3989ba133ab48b5b3a81e3dba9b37b5966a46d7,0.5,17280.0
0xd3989ba133ab48b5b3a81e3dba9b37b5966a46d7,0.8,1242.9346488393473
0xd3989ba133ab48b5b3a81e3dba9b37b5966a46d7,1.0,410.0
0xde264f5e8340592f43e565c520958b53ffd70972,0.2,168.36510600000003
0xde264f5e8340592f43e565c520958b53ffd70972,0.5,82.34960977371348
0xde264f5e8340592f43e565c520958b53ffd70972,0.8,52.760400000000004
0xde264f5e8340592f43e565c520958b53ffd70972,1.0,40.99448354999999
0xe08d02f5bc0e7f50c17e859dd98d012591e2d5d4,0.2,408.67967536
0xe08d02f5bc0e7f50c17e859dd98d012591e2d5d4,0.5,152.02200000000002
0xe08d02f5bc0e7f50c17e859dd98d012591e2d5d4,0.8,74.31418422322763
0xe08d02f5bc0e7f50c17e859dd98d012591e2d5d4,1.0,6.399999999999999
0xe1b361d6a6f237b9ed7534d19b232df8369e1426,0.2,1444.4901995369999
0xe1b361d6a6f237b9ed7534d19b232df8369e1426,0.5,1126.7492101800003
0xe1b361d6a6f237b9ed7534d19b232df8369e1426,0.8,673.5481530752971
0xe1b361d6a6f237b9ed7534d19b232df8369e1426,1.0,562.1364946800004
0xe27757cc1dff108d82cb2ce371a40ef7a52b8e46,0.2,128.3363781507238
0xe27757cc1dff108d82cb2ce371a40ef7a52b8e46,0.5,100.29999900000003
0xe27757cc1dff108d82cb2ce371a40ef7a52b8e46,0.8,93.27420000000002
0xe27757cc1dff108d82cb2ce371a40ef7a52b8e46,1.0,93.27420000000002
0xe781f51daaa8aaa3d48077991789fb412dd15e52,0.2,210.0
0xe781f51daaa8aaa3d48077991789fb412dd15e52,0.5,210.0
0xe781f51daaa8aaa3d48077991789fb412dd15e52,0.8,99.999999
0xe781f51daaa8aaa3d48077991789fb412dd15e52,1.0,99.99999899999997
0xeafc14c8639ef6fbf882b74c3e6de2fe72d10d5c,0.2,82.0
0xeafc14c8639ef6fbf882b74c3e6de2fe72d10d5c,0.5,45.049440000000004
0xeafc14c8639ef6fbf882b74c3e6de2fe72d10d5c,0.8,45.049440000000004
0xeafc14c8639ef6fbf882b74c3e6de2fe72d10d5c,1.0,45.049440000000004
0xf1e591c33f89a2b8ff54ef1f82881e10592f18f4,0.2,289.75
0xf1e591c33f89a2b8ff54ef1f82881e10592f18f4,0.5,227.5
0xf1e591c33f89a2b8ff54ef1f82881e10592f18f4,0.8,166.280534571245
0xf1e591c33f89a2b8ff54ef1f82881e10592f18f4,1.0,93.0
0xf206feb2396fea38d8075e6acad9cf5655b68cf6,0.2,7535.961517543916
0xf206feb2396fea38d8075e6acad9cf5655b68cf6,0.5,6314.953202574
0xf206feb2396fea38d8075e6acad9cf5655b68cf6,0.8,1281.6910881800002
0xf206feb2396fea38d8075e6acad9cf5655b68cf6,1.0,0.0
0xf59fe344fb8af90a14bd6f2fe62430e56dc03be9,0.2,2041.2872924041485
0xf59fe344fb8af90a14bd6f2fe62430e56dc03be9,0.5,1569.970836533488
0xf59fe344fb8af90a14bd6f2fe62430e56dc03be9,0.8,1033.1387899000001
0xf59fe344fb8af90a14bd6f2fe62430e56dc03be9,1.0,18.36
0xf71061cce6d1ab8aaef8f6928a4fdb5dfe15edc9,0.2,108.20166079449473
0xf71061cce6d1ab8aaef8f6928a4fdb5dfe15edc9,0.5,76.47500000000001
0xf71061cce6d1ab8aaef8f6928a4fdb5dfe15edc9,0.8,20.0
0xf71061cce6d1ab8aaef8f6928a4fdb5dfe15edc9,1.0,20.0
0xf72044fb3f98854411a069d9a682e54e4b824599,0.2,7610.469999000001
0xf72044fb3f98854411a069d9a682e54e4b824599,0.5,7610.469999000001
0xf72044fb3f98854411a069d9a682e54e4b824599,0.8,7610.469999000001
0xf72044fb3f98854411a069d9a682e54e4b824599,1.0,299.999999
0xfb461c16ef90a513e1412f1d53c1021ece14f68b,0.2,1020.9246163199999
0xfb461c16ef90a513e1412f1d53c1021ece14f68b,0.5,352.04739913669243
0xfb461c16ef90a513e1412f1d53c1021ece14f68b,0.8,290.037619614376
0xfb461c16ef90a513e1412f1d53c1021ece14f68b,1.0,258.0
0xe97b7b1396a99341b32984fa8bbf62f2f68ab2ea,0.2,1387.4299353000001
0xe97b7b1396a99341b32984fa8bbf62f2f68ab2ea,0.5,343.5368573699999
0xe97b7b1396a99341b32984fa8bbf62f2f68ab2ea,0.8,300.7742
0xe97b7b1396a99341b32984fa8bbf62f2f68ab2ea,1.0,64.421242
