n,median_exposure,mean_roi_res,med_roi_res,mean_copyable_roi,sd_copyable_roi,sharpe_copyable,pnl,split,axis,price_q,price_min,price_max,bin,mean_price
518,11.24965535,-0.6219913845095238,-0.5626621181316778,0.007855847268913122,0.34640199951873607,0.022678412017908163,-672.9219808267271,train,exposure,4,0.789,0.9990000000000001,0-20,0.9078758955049763
850,93.0715,-0.6274969700995547,-0.5682638808422555,0.0008607378341121073,0.35154918454711687,0.002448413684193159,36.424326581897844,train,exposure,4,0.789,0.9990000000000001,20-40,0.9078758955049763
1333,237.0,-0.6112105926302265,-0.5645087327465812,0.02846927445415403,0.31150915699022047,0.09139145291657605,3006.6178762076925,train,exposure,4,0.789,0.9990000000000001,40-60,0.9078758955049763
1958,437.020025464,-0.6071984048909291,-0.5609998123464748,0.038869504971219944,0.2881126222158705,0.13491080214492193,18240.791261305647,train,exposure,4,0.789,0.9990000000000001,60-80,0.9078758955049763
3195,2684.6911075,-0.6131027478824007,-0.6045237857670972,0.0592314122354255,0.19429538159914386,0.3048523940606445,43248.21945495375,train,exposure,4,0.789,0.9990000000000001,80-100,0.9078758955049763
1524,8.315813949999942,-0.7205594149510903,-1.1750463225396839,0.20156676745901783,1.681762596035094,0.11985447169191987,-393.82627992487824,train,exposure,1,0.2,0.38,0-20,0.29523302018094094
1774,27.544116729999992,-0.6550230278194382,-1.1743648175350774,0.3852031202975037,1.7488020502856463,0.22026685080486114,7324.966105220626,train,exposure,1,0.2,0.38,20-40,0.29523302018094094
1932,74.0634,-0.6252842474825034,-1.1741890817422151,0.4387290175441047,1.7311458215182187,0.25343273344780304,200.1851702942222,train,exposure,1,0.2,0.38,40-60,0.29523302018094094
1673,274.10686913341567,-0.44013060886840266,0.0750840694368268,0.9298741254890338,1.7606664198298048,0.528137593252287,22679.601855553206,train,exposure,1,0.2,0.38,60-80,0.29523302018094094
992,711.4103339999999,-0.3052237927960476,0.08248554207871969,1.167141283822636,1.5688475933678732,0.7439481621775083,42490.61826526255,train,exposure,1,0.2,0.38,80-100,0.29523302018094094
2151,2.2685652419999043,-0.3673808169960337,-0.04197421975134501,-0.005397488343647673,0.8513446635165122,-0.006339956747192304,316.4363084843617,val,exposure,3,0.4700000015438111,0.7399999833082679,0-20,0.5970931781904969
1432,25.942840399999803,-0.33526568530694084,-0.01738800813549196,0.05652403722523504,0.8543652886232358,0.06615909843004099,1617.84354875929,val,exposure,3,0.4700000015438111,0.7399999833082679,20-40,0.5970931781904969
1839,68.99345259000003,-0.3281264097061472,-0.034698736597738686,0.05113094546164191,0.817855693668235,0.06251829736895284,4694.593388821493,val,exposure,3,0.4700000015438111,0.7399999833082679,40-60,0.5970931781904969
2315,140.48367792000082,-0.4342802470491864,-0.07022332155954807,-0.12959055428866792,0.8418726928869769,-0.15393129553147974,-13972.79211390186,val,exposure,3,0.4700000015438111,0.7399999833082679,60-80,0.5970931781904969
2044,541.0167268799999,-0.22546741313572496,-0.01590199010699865,0.20970271868685236,0.7254573609328117,0.2890627760909493,10586.498930806696,val,exposure,3,0.4700000015438111,0.7399999833082679,80-100,0.5970931781904969
3517,5.764873908574371,-0.7689299691361668,-0.9091245362435271,-0.09228886853651488,3.001050992424173,-0.030752182741808822,4450.552037078945,val,exposure,0,0.0010000000000000009,0.180000010333036,0-20,0.10398012860583508
2933,19.440350243999994,-0.7723543502522268,-0.9109213705702232,0.025785062477981943,3.9876084146605653,0.0064662975389414784,271.82380626090617,val,exposure,0,0.0010000000000000009,0.180000010333036,20-40,0.10398012860583508
1874,52.99466457849997,-0.7564753762566558,-0.9107018499454405,0.5184836064823157,6.67284606221959,0.07770051963552302,-11265.321005177662,val,exposure,0,0.0010000000000000009,0.180000010333036,40-60,0.10398012860583508
1078,110.89187858393757,-0.7282878970821317,-0.9118263065665562,0.4323759974816736,5.099530295094287,0.08478741618568603,3165.3395703765464,val,exposure,0,0.0010000000000000009,0.180000010333036,60-80,0.10398012860583508
417,343.10880851700006,-0.654138048368278,-0.9030151056415031,0.5701271377137013,3.5117689404905095,0.16234756539365836,6676.604358115815,val,exposure,0,0.0010000000000000009,0.180000010333036,80-100,0.10398012860583508
1208,1.8992964739999691,-0.3296629122723018,-0.21092519990742797,-0.012628992758163175,0.45001424621343683,-0.028063539908852977,-96.37121503303638,val,exposure,4,0.7399999999999999,0.9990000000000001,0-20,0.8812531442119556
869,54.529999999999994,-0.3142449307027606,-0.23884616240930673,0.02208324879808228,0.37933019654045563,0.058216427269657395,2588.2817249568607,val,exposure,4,0.7399999999999999,0.9990000000000001,20-40,0.8812531442119556
1621,110.38053767999997,-0.2870039714277039,-0.2421000507325446,0.06625371889150174,0.3117349736075926,0.2125321972211592,5107.576659760539,val,exposure,4,0.7399999999999999,0.9990000000000001,40-60,0.8812531442119556
2123,259.44969999999995,-0.2900032721359023,-0.24591669054172793,0.06479621105248878,0.3056051292216052,0.21202592776347917,10346.793820508276,val,exposure,4,0.7399999999999999,0.9990000000000001,60-80,0.8812531442119556
3732,776.0953425715009,-0.3093739716234854,-0.29101560852248487,0.05247131806182627,0.281394257226847,0.18646904374998075,28437.881486408787,val,exposure,4,0.7399999999999999,0.9990000000000001,80-100,0.8812531442119556
2753,6.324655999999999,-0.6268654488053245,-0.9247505009877363,-0.04777064838137749,1.7410881581609945,-0.02743723697014557,-596.963075020918,val,exposure,1,0.180000011068869,0.32,0-20,0.25244937303234855
2856,19.3338279460225,-0.5830619504139916,-0.9248822478496317,0.0507932876801915,1.7451256696660686,0.02910580513660706,4464.820392805585,val,exposure,1,0.180000011068869,0.32,20-40,0.25244937303234855
1811,51.837560609999926,-0.6294979079102583,-0.9253530486055149,-0.07147748269050058,1.7011703958871354,-0.04201665092650882,5673.685488118997,val,exposure,1,0.180000011068869,0.32,40-60,0.25244937303234855
1890,131.3220093200002,-0.695287303405145,-0.9256096383074146,-0.28392680981197993,1.535017029713701,-0.18496655367070142,-14040.068585250701,val,exposure,1,0.180000011068869,0.32,60-80,0.25244937303234855
537,289.11774345528016,-0.5972423099571273,-0.925013994711527,0.009009707470107445,1.7213799358087818,0.005234002838469404,-8210.356024930083,val,exposure,1,0.180000011068869,0.32,80-100,0.25244937303234855
2385,6.711436800000004,-0.44419920085535497,-0.9339986266613817,0.10109139544212582,1.291477767627316,0.07827575354072835,959.7294141808445,val,exposure,2,0.32,0.47000000116300944,0-20,0.39283059000291365
2625,19.537965020000005,-0.4570370310068564,-0.9339619327650591,0.06077501864278513,1.2714693415935776,0.047799043716314576,2102.0800042579135,val,exposure,2,0.32,0.47000000116300944,20-40,0.39283059000291365
