lead_bin,price_bin,n,mean_price,outcome_rate,brier,reliability_gap,lead_label
5,4,57981,0.3661179853998987,0.4296924854693779,0.24784218487913356,0.06357450006947918,"[2,3d)"
5,5,81385,0.6225719291127637,0.5960066351293236,0.2400979192066134,-0.026565293983440097,"[2,3d)"
5,6,132640,0.7960002376395741,0.771984318455971,0.17273495354730212,-0.02401591918360302,"[2,3d)"
5,7,42341,0.923108239319315,0.9171016272643537,0.07567888800273885,-0.0060066120549612245,"[2,3d)"
5,8,140887,0.9852988260767507,0.9819429755761709,0.01752651452466858,-0.003355850500579738,"[2,3d)"
6,0,11820,0.011651749343537854,0.02758037225042301,0.02665959201422332,0.015928622906885157,"[3,7d)"
6,1,3722,0.07098970432592232,0.10424502955400322,0.09421281100085202,0.033255325228080904,"[3,7d)"
6,2,5478,0.14585620963797954,0.1538882803943045,0.131154954691193,0.00803207075632495,"[3,7d)"
6,3,4128,0.24646998175603704,0.2550872093023256,0.1884584443776493,0.008617227546288547,"[3,7d)"
6,4,5323,0.37968401214153114,0.4576366710501597,0.24977948263529193,0.07795265890862857,"[3,7d)"
6,5,8824,0.6130382085235418,0.570716228467815,0.24524661762248284,-0.04232198005572685,"[3,7d)"
6,6,12086,0.7975066686086648,0.801754095647857,0.1548819548176889,0.004247427039192231,"[3,7d)"
6,7,3947,0.9217055054062615,0.9247529769445149,0.06922924255018624,0.0030474715382533546,"[3,7d)"
6,8,14452,0.987869032735161,0.9776501522280653,0.021803826421165153,-0.01021888050709574,"[3,7d)"
